fecha,año,mes,dia,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex
2020-03-25,2020,marzo,25,105,105,0,33,33,0
2020-03-26,2020,marzo,26,128,128,0,42,42,0
2020-03-27,2020,marzo,27,175,175,0,60,60,0
2020-03-28,2020,marzo,28,257,257,0,78,78,0
2020-04-01,2020,abril,1,384,359,25,133,128,5
2020-04-10,2020,abril,10,1085,834,251,314,256,58
2020-04-14,2020,abril,14,1446,1110,336,418,343,75
2020-04-15,2020,abril,15,1530,1121,409,472,355,117
2020-04-16,2020,abril,16,1705,1255,450,508,390,118
2020-04-17,2020,abril,17,1887,1408,479,585,468,117
2020-04-18,2020,abril,18,2067,1548,519,611,487,124
2020-04-19,2020,abril,19,2205,1647,558,654,524,130
2020-04-20,2020,abril,20,2301,1706,595,656,529,127
2020-04-21,2020,abril,21,2529,1878,651,699,572,127
2020-04-23,2020,abril,23,2745,2064,681,701,571,130
2020-04-30,2020,abril,30,4107,2900,1207,1006,845,215
2020-05-05,2020,mayo,5,4994,3438,1556,1102,878,224
2020-05-07,2020,mayo,7,4906,3424,1482,1134,899,235
2020-05-09,2020,mayo,9,5216,3610,1606,1186,918,268
2020-05-11,2020,mayo,11,5423,3779,1644,1193,935,258
2020-05-15,2020,mayo,15,5871,4099,1772,1289,974,315
2020-05-16,2020,mayo,16,5970,4159,1811,1295,982,313
2020-05-20,2020,mayo,20,6425,4540,1885,1429,1111,318
2020-05-26,2020,mayo,26,6340,4478,1862,1444,1076,368
2020-05-28,2020,mayo,28,6241,4420,1821,1398,1053,345
2020-05-30,2020,mayo,30,6278,4444,1834,1447,1081,366
2020-06-03,2020,junio,3,6362,4465,1897,1490,1095,395
2020-06-06,2020,junio,6,6442,4484,1958,1425,1045,380
2020-06-08,2020,junio,8,6320,4408,1912,1408,1041,367
2020-06-14,2020,junio,14,6130,4331,1799,1347,1006,341
2020-06-15,2020,junio,15,6057,4279,1778,1329,998,331
2020-06-19,2020,junio,19,5818,4142,1676,1265,952,313
2020-06-20,2020,junio,20,5750,4080,1670,1274,958,316
2020-06-28,2020,junio,28,5282,3780,1502,1270,958,312
2020-06-29,2020,junio,29,5277,3793,1484,1261,949,312
2020-06-30,2020,junio,30,5288,3822,1466,1236,932,304
2020-07-03,2020,julio,3,5095,3666,1429,1195,897,298
2020-07-04,2020,julio,4,5010,3592,1418,1203,878,325
2020-07-10,2020,julio,10,4800,3452,1348,1152,844,308
2020-07-15,2020,julio,15,4753,3411,1342,1115,812,303
2020-03-24,2020,marzo,24,50,50,0,39,39,0
2020-03-29,2020,marzo,29,258,258,0,84,84,0
2020-03-30,2020,marzo,30,324,301,23,109,104,5
2020-03-31,2020,marzo,31,328,313,15,122,118,4
2020-04-02,2020,abril,2,393,361,32,143,136,7
2020-04-06,2020,abril,6,596,559,37,182,171,11
2020-04-07,2020,abril,7,670,609,61,191,178,13
2020-04-08,2020,abril,8,741,657,84,229,202,27
2020-04-11,2020,abril,11,1212,910,302,336,265,71
2020-04-12,2020,abril,12,1316,997,319,359,280,79
2020-04-13,2020,abril,13,1379,1027,352,372,275,97
2020-04-24,2020,abril,24,2935,2162,773,760,620,140
2020-04-25,2020,abril,25,3416,2445,971,840,685,155
2020-04-28,2020,abril,28,3643,2679,969,992,809,183
2020-05-02,2020,mayo,2,4355,3096,1259,1014,816,198
2020-05-03,2020,mayo,3,4480,3099,1381,1098,870,228
2020-05-12,2020,mayo,12,5549,3903,1646,1218,961,257
2020-05-14,2020,mayo,14,5726,4009,1717,1248,956,292
2020-05-18,2020,mayo,18,6203,4301,1902,1412,1086,326
2020-05-22,2020,mayo,22,6437,4553,1884,1439,1077,362
2020-05-23,2020,mayo,23,6359,4490,1869,1493,1123,370
2020-05-24,2020,mayo,24,6335,4458,1877,1457,1097,360
2020-05-27,2020,mayo,27,6281,4420,1861,1407,1060,347
